Year,G,AG,ARI,IAB,ATL,AC,BBS,BEG,BAL,BLA,BBB,BOS,BRG,CAG,CHC,COG,CHW,CIN,CT,CBN,CBE,CCU,CEL,CG,CHT,CLE,CRS,CLS,CTS,CTG,COL,CBB,COB,COT,CSE,CSW,DM,DS,DTS,DET,DW,HBG,HIL,HG,HOU,ABC,ID,IA,IC,JRC,KCM,KCR,LRG,LAA,LAD,LVB,MRS,MIA,MB,MIL,MIN,MRM,MGS,NBY,NYC,NLG,NYM,NYY,NWB,ND,NE,NS,OAK,PBG,PHI,PS,PTG,TC,PK,PIT,CUP,SDP,SFG,SEA,STL,SLS,SL2,HAR,TBR,TEX,TT,TOR,SEN,WSN,WAP,WMP
1916,154,,,,89,,,,79,,,91,,,67,,89,60,,,,,,,,77,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,94,,,,,,76,,,,,,,80,,,,,36,,91,,,,,65,,,86,,60,,,,,,,,,,,
1915,154,,,,83,,,,63,,,101,,,73,,93,71,,,,,,,,57,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,80,,,,,,85,,,,,,,69,,,,,43,,90,,,,,73,,,69,,72,,,,,,,,,,,
1914,154,,,,94,,,,71,,,91,,,78,,70,60,,,,,,,,51,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,75,,,,,,81,,,,,,,70,,,,,99,,74,,,,,69,,,84,,81,,,,,,,,,,,
1913,154,,,,69,,,,57,,,79,,,88,,78,64,,,,,,,,86,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,65,,,,,,90,,,,,,,57,,,,,96,,88,,,,,78,,,101,,51,,,,,,,,,,,
1912,154,,,,52,,,,53,,,105,,,91,,78,75,,,,,,,,75,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,58,,,,,,91,,,,,,,50,,,,,90,,73,,,,,93,,,103,,63,,,,,,,,,,,
1911,154,,,,44,,,,45,,,78,,,92,,77,70,,,,,,,,80,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,64,,,,,,64,,,,,,,76,,,,,101,,79,,,,,85,,,99,,75,,,,,,,,,,,
1910,154,,,,53,,,,47,,,81,,,104,,68,75,,,,,,,,71,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,64,,,,,,66,,,,,,,88,,,,,102,,78,,,,,86,,,91,,63,,,,,,,,,,,
1909,153,,,,45,,,,61,,,88,,,104,,78,77,,,,,,,,71,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,55,,,,,,42,,,,,,,74,,,,,95,,74,,,,,110,,,92,,54,,,,,,,,,,,
1908,154,,,,63,,,,83,,,75,,,99,,88,73,,,,,,,,90,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,53,,,,,,67,,,,,,,51,,,,,68,,83,,,,,98,,,98,,49,,,,,,,,,,,
1907,154,,,,58,,,,69,,,59,,,107,,87,66,,,,,,,,85,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,65,,,,,,49,,,,,,,70,,,,,88,,83,,,,,91,,,82,,52,,,,,,,,,,,
1906,154,,,,49,,,,76,,,49,,,116,,93,64,,,,,,,,89,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,66,,,,,,55,,,,,,,90,,,,,78,,71,,,,,93,,,96,,52,,,,,,,,,,,
1905,154,,,,51,,,,54,,,78,,,92,,92,79,,,,,,,,76,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,48,,,,,,64,,,,,,,71,,,,,92,,83,,,,,96,,,105,,58,,,,,,,,,,,
1904,154,,,,55,,,,65,,,95,,,93,,89,88,,,,,,,,86,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,56,,,,,,38,,,,,,,92,,,,,81,,52,,,,,87,,,106,,75,,,,,,,,,,,
1903,140,,,,58,,,,65,,,91,,,82,,60,74,,,,,,,,77,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,70,,,,,,43,,,,,,,72,,,,,75,,49,,,,,91,,,84,,43,,,,,,,,,,,
1902,140,,,,73,,,,78,50,,77,,,68,,74,70,,,,,,,,69,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,75,,,,,,61,,,,,,,,,,,,83,,56,,,,,103,,,48,,56,,,,,,,,,,,
1901,140,,,,69,,,,48,68,,79,,,53,,83,52,,,,,,,,54,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,79,,,,,,61,,,,,,,,,,,,74,,83,,,,,90,,,52,,76,,,,,,,,,,,
